Username,uniqueplaces
ClayD_55,8
EvyFregoso,8
georgebray41,8
joshuawromero,8
mandeepsrealtor,8
sbobby1348,8
booshiebearxXx,7
Deprivee_,7
macknight_nick,7
rogermgarza,7
sporty_who,7
yocaarlos,7
AycaDumann,6
jeffreyluscious,6
pirulo9,6
RealFluffy_,6
roksanna2007,6
The_Big_Ragu_1,6
theresacassara,6
_reesa_roo,5
Alpal_98,5
CarolJean729,5
ChocolatierAtl,5
chriscejnar,5
D__Rod7,5
dallasthroat,5
jadis11,5
kanovimack,5
larba1968,5
S9K9Y9,5
sleepishop,5
SoonerCDub,5
tailgate_talks,5
coffeecan_,4
GBCdaHuncho,4
happyhorses76,4
hugeslut99,4
KamiFordBeauty,4
KhatleesiBeastM,4
lookingforhotm1,4
MadeMenMafia3,4
MckynnaMoxley,4
msn_mariela,4
OliveDaFrenchie,4
Reedtaylor2189,4
ReneTheEmpress,4
rflor1112,4
rickdanna4719,4
SuzAnneDeCarma,4
tmj_TX_ACCT,4
vincedesi,4
abbie_nb,3
bradkbrew,3
carsonwoods289,3
corky_squirrel,3
Damien_Butler8,3
Gracehuldah,3
HaroldgustavoA,3
Jay_M_Williams,3
JoanneFuchs,3
markie_garza,3
Pastorglr,3
rhoni888,3
donxlane,2
dpsiii,2
EmmitteRiser,2
FredWilkerson1,2
hgoodman12,2
jeffparr3000,2
katiedaisy03,2
kaylaanakolee,2
keviwevi2002,2
LisetteMoniqueD,2
loveangelamarie,2
LuxWade,2
regggieb,2
renersharp,2
shahchi3,2
thebiggestt__,2
TravisLofley,2
_bigounce,1
_bullfighter_,1
_SlamDuncum,1
3pointgoat,1
4foto4fun,1
602Ryan,1
80_JRod,1
aaronontheradio,1
AbdouJatta15,1
AdejugbeYomi,1
AJ_Bunn,1
alaham5855,1
Alex__Kirkbride,1
alimasswi33,1
AndrewDVaughn,1
ArizonaWildbags,1
ArmyRaider1983,1
ARouder,1
asmarks18,1
Augy95,1
B_Rad12080,1
babypitabread,1
baconandtacos,1
bblack_98,1
BellCard12,1
Ben_Rig,1
Benikitty7,1
BenjaminOscar77,1
BenJohnson1974,1
BFairly,1
Big_Daddy_Bick,1
BigBruce56,1
BigPapiBrandonM,1
bigtitstrades,1
BigWin20TTU,1
BillyTalerico,1
Blake_Duncum,1
blakeedwards91,1
blflood,1
blondbeans,1
bluewater62993,1
bmfvikas,1
bmikusek,1
bobafart77,1
bobmyrvold,1
Brandon59733004,1
BrandyHeaton,1
branhawk,1
braydenvieyra10,1
BreckMathMan,1
bredfrm_,1
BrentMcCay,1
BrianBr19717430,1
BricePaterik,1
BROgletree,1
BronsonDicks,1
bryannpayne,1
bucephelus,1
Buddylittle11,1
bulletproofrew,1
bumbal09,1
Burn_the_fleet,1
calebsmith99,1
CameronLitzkow,1
CaptNecessary,1
carcus_sr,1
carlos46844195,1
cbirdwell23,1
cdthrash,1
CentxHank,1
Chad_Link_81k,1
ChadCar94356408,1
chandlercruse,1
chappsh3,1
Chappynash,1
CharlesDunn2,1
ChevyC502,1
ChrisJo2432218,1
CHTx86,1
chuddleman,1
CigarsNJeeps,1
cinlouwho2,1
ClintWisniewski,1
clonesrising,1
clutxh_colton,1
cmacwreckem,1
Coach_Benji,1
coachcline1984,1
CodyGoolsby4,1
CodyJone,1
CodyL_S,1
colbyian4,1
Cold_Fusion,1
CondorCamp,1
CookeCoSports,1
coolstools,1
cornkobers,1
CPlayer6996214,1
cria_elaine,1
CryptoMoonRock,1
curtis_draper,1
cv42949452,1
cycy6484,1
d_pyburn,1
daddydanefuller,1
daentiremacTTV,1
Damman691,1
DanielCourreges,1
DanielMayon_,1
DaveStorrs1,1
DAVIDHISLOP44,1
DavidLBKRaider,1
davidlfloyd4,1
DDasqueezy,1
Deano_1314,1
dEathbRideComic,1
DeniseR64863445,1
DevinLeeTweets,1
DirkNDez,1
dominantdom4,1
DonRossFranklin,1
DoubleTSports,1
DoughGoesIn,1
drewmiller,1
drewparker1214,1
droinho,1
DubTplsPayLeach,1
Duckbuddha1,1
duffy_suhr,1
Dustin3095,1
DustinWimmer22,1
DustyDvoracek,1
EDCNP,1
EJ52564700,1
EliDLC99,1
Elling_Caleb,1
Equality1975,1
eric_on_wheels,1
erichterrr,1
ERichTTU,1
EricSte70409313,1
ErinandEmmainFL,1
evan_vickery,1
evo8u24,1
eyeam2nd,1
facedgawd,1
FargenAaron,1
FechtlerTravis,1
flintfredstoned,1
Flo_Y_D,1
FredShelton3,1
Gabegarcia08,1
GabeMart15,1
GamblinGauchos,1
GamecockFan032,1
GamingTodayNews,1
GavinHeckman,1
GeorgeW47393009,1
Getthebagcoach,1
gilbert87,1
gkbored,1
GodIago,1
goleador2519,1
GrantGlendening,1
GrantHsteamboat,1
Greg_Gali,1
gregory2_gage,1
GriffCWild,1
guianluc,1
H917Jacob,1
hasbeenssports,1
HawkorKeem,1
heath6303,1
heckintexan,1
hhaynie,1
hike_nm,1
Hinzzo,1
HomicidalPillo,1
hoopsmcspankin,1
Huddle_Up_99,1
Ian_hart_20,1
IjuanDinero,1
illinifan1280,1
ImmosisLLC,1
imnotapagan,1
InmanRoshi,1
intheradicalred,1
izzy9710,1
Jack__damon,1
JacobyMadewell,1
jake_needs,1
jakematheus_,1
Jamayo22900994,1
jamerv86,1
james_pittman1,1
jamesbonknight,1
JamesYoder,1
janeybibb,1
JasonAnosky,1
JasonW560,1
jayzeus1212,1
Jaznuker,1
jbreynolds4040,1
JBU_LAW,1
JBW90,1
Jeff_Brunson,1
jefferson__21,1
Jeromie_Oney,1
JerryKopensky,1
Jesse52024153,1
JesseCo17447249,1
jhilenfuego,1
Jim68153619,1
JimCondit1,1
JimmyLe48835872,1
Jimmymcbucketss,1
jimur24,1
JMFloyd34,1
JMGClinCom,1
JodieKeith12,1
JoeFoerch,1
JoeyTTU01,1
JohnathanByer16,1
JohnathanCano1,1
johnmatt25,1
JohnTho2200,1
jollyjamjournal,1
jonathan_morris,1
JonathanZakuta1,1
jones4077,1
JordanVanekDFS,1
JordonM79763334,1
JosManga6,1
JRDonal,1
jsamTTU,1
jtpenfield,1
JumanjiTsunami,1
JustASportGuy,1
JustinCavey,1
justinxaz,1
Juz_10,1
kaleb1212121212,1
Kalmarti5005,1
KaPow_13,1
kathryncfloyd,1
KatrinaPecina,1
kdaviesTTU,1
keefdon,1
Keiricha,1
KeithBPatrick,1
kellyes_4,1
KelRobin_5,1
kelseywayne87,1
KenLanning3,1
kevinre60092467,1
KEVINROARK3,1
kid_j7,1
KingEO_,1
KingKaozBeatz,1
kstaff14,1
KTXT_Sports,1
KyleCinVail,1
Kzero123,1
Lainie18955180,1
LanceVCH,1
LandenWithAnE,1
LaSlumped,1
latasian69,1
lauvalenmodel,1
LayneBynum,1
LayneVerhelst,1
lefty25251,1
Liberty4all22,1
lincovich40,1
lindley_wesley,1
llapamy,1
loerwin11,1
loganjameson101,1
LoganShipley65,1
lynney90551446,1
MarcoAlexArt1,1
MarkAdamsFamily,1
Markus1340,1
MarySpr61354476,1
MataGooner,1
Matt__Card,1
matt_alvarado10,1
MattB_WOF,1
mbaker_21,1
mcalpine_eric,1
McGannFarms,1
McPeek6,1
mctrees02,1
mcyds2,1
MDeskaTTU,1
Megalomaniac314,1
MethSnorton,1
MGreat774,1
Michael_LaB,1
Michael27833117,1
Michael64670470,1
MichaelWGunter,1
MikeCountiss,1
mikelwoodward,1
MissMoonster,1
mmathews1991,1
monticello2705,1
mosquitodc,1
Mr_AlbieShore,1
MstrMotivator,1
MW01866021,1
MW05VETTE,1
myles_salazar17,1
naedward1512,1
natd_leroux,1
natetapee,1
nfbucheli1,1
Nickimserious,1
NicoSanchezLBK,1
Nielsenwith,1
Nikkiy_benz,1
notsageadvice,1
ObiWanCoby10,1
original2cents,1
ortegamuaythai,1
OverGoat1,1
paigesachse_tv,1
paper_tigerx,1
Patrick76394974,1
patrickbousky,1
PaulTubbs_SPT,1
Payne_Train,1
petrock20,1
phil_simmons73,1
Philipcruzz,1
PithyCommenter,1
pjay2000,1
ProfessorShyguy,1
puntssuck,1
PWRSTROKE_PETE,1
Q_man11,1
QB3QB3,1
RACredhead05,1
raideralum,1
raiderpup1,1
raiderred00,1
RaiderTy92,1
Rainturtle70,1
RamblinRaiders,1
Ramirezj180,1
Rateesh76862179,1
RCuviston,1
REAL1LORENYOUNG,1
realBanjoBobTTU,1
Reddog641,1
Redraider6943,1
redraidermbb,1
RedRaiders_B12C,1
redtil_dead,1
RedVaderVato,1
RefaldyBaduy1,1
reggaetonguero,1
Reinmanx1,1
rep_town,1
RetroJono,1
ReviloXoc,1
RHH3907,1
Rich_Lucero04,1
RichSanfratello,1
RinEstelle,1
Ritter_1414,1
River_Leeman,1
Robby_QuackBush,1
RobertBobSpotee,1
RobTragni,1
robxmartin,1
RockinPregame,1
rodney_reeder,1
Roger__Hardy,1
ron_milford,1
RonBurgunsup,1
rpitcock2,1
RPTexan,1
rwhop,1
ryane836,1
ryanting45,1
Saenz16Ryan,1
Samantha_A_Ivey,1
ScarletTortilla,1
SchoolyD28,1
Schwobaconda,1
scotfiler,1
scott09881341,1
Scotthamilton68,1
ScottShilala,1
SeanTTU34,1
SelfShelly,1
SethSwaringen,1
shad0wsham3n,1
shandershow,1
shanejo73509324,1
shawn93077805,1
Shay44Stay,1
sheik37,1
ShelCEHill,1
Sherri60827582,1
Shotcollin13,1
SidelineProv,1
sims_sh,1
SinPerfectt,1
sj21005,1
Slade_Sutton,1
smooser,1
sneakers1957,1
snydxr,1
somonomo,1
Sooner_PoP,1
Soonr78,1
SouthsideoHeavn,1
sportstake210,1
Sprather881,1
SpurHorn,1
SSN_TTU,1
starside8,1
Stawprightthere,1
steve_oohh,1
StevePo44622298,1
SteveSickman,1
StokasticFF,1
Strat_Nightstar,1
Stros_86,1
sturdystalkk,1
swtchef013,1
SydneyErin92,1
SznMicah,1
T_Rex_2313,1
T2TheJ,1
t3xassteelers,1
TakaoMatsui6,1
TalkinTechPod,1
tannerthehammer,1
tbaum15,1
tbutler98,1
Techox97,1
techsan7,1
TechsonPatriot,1
TechSr06,1
Techster91,1
TechTina1,1
Texas96397654,1
TexasSooner20,1
Texassteelman,1
Texastech1980,1
TexasTech1996,1
TexasTechFB1,1
texshafer,1
theannikaj,1
TheDesertYankee,1
TheFlatDoubleT,1
TheGully81,1
TheJohnFHenry,1
thejojohnson,1
TheOriginalCT,1
ThereonVo,1
TheSmoothToad,1
thespacedave23,1
TheTexasSteve,1
ThinkIdgafwu,1
thisguyTTU,1
ThomasChilesCl1,1
tigersarod,1
Tim_3001,1
TimCastleman,1
tmj_AUS_skltrd,1
tmj_DFW_skltrd,1
tobias_bass,1
Toddedore,1
toddrobisonTX,1
TomasTrod,1
TomDunn20206067,1
tp004012,1
TravisGAustin14,1
tristanhauck_,1
Trizroy,1
TruthTela1223,1
TTarvin22,1
ttred_raider,1
TTRedRaider1983,1
TTUfan_AvsFan09,1
ttuscottiedoo,1
TwoThirdsSports,1
TX5StandFan,1
Ty_Thurmond,1
Tyler_Hogan_24,1
TylerB_Mitchell,1
TylerrNunn,1
TyTaggart1,1
UT85BA91,1
villarreal8484,1
VirgilWallace20,1
waaaarrrrd1,1
wall3b,1
wbbowden,1
WE_R_FLY,1
Wes19791,1
Wesleyperk,1
whomartyp,1
wildfir42925148,1
William96184413,1
wreckemforever1,1
wreckemweedman,1
WrigleyRaider,1
Y2kbronco,1
YaYaWahoo,1
YTNICOLE_BTW,1
zach_heinrich,1
Zackary_Brame,1
zahidkh33653988,1
zurcmada,1
